0101,Д и Н,Герролд Стюард,Все соделал Он прекрасным,Гармонические сочетания науки и Библейской истины,,,
0102,Д и Н,Макс Лукадо,Точно как Иисус,"Бог любит тебя слишком сильно, чтобы позволить тебе оставаться таким, какой ты есть. Он хочет, чтобы ты стал… Точно как Иисус",,,
0103,Худ.,Лори Вик,Чуть громче шепота,"История о победе веры над страхом и об узах, которые соединяют на всю жизнь",,,
0104,Д и Н,Освальд Чейнберг,"Все, что могу - во славу Его",Духовные уроки на каждый день,,,
0105,Худ.,Иоанна Лорх,Любовь измеряется жертвой.,"Судьбы трех женщин. Мари, заболев неизлечимой болезнью, принимает нелегкое решение посвятить себя служению прокаженным и несет им благую весть о Спасителе. Клара, осиротев, обретает новых родителей в лице истинных христиан и, наблюдая за их жизнью, начинает жить не для себя, а для других. ",,,
0106,Худ.,"Издательство ""GBV""",Топси,О миссионерах в Китае,,,
0107,Худ.,Уоллесъ,Бэнъ-Хуръ,Повесть из первых лет Христианства,,,
0108,Толк.,Мартин Ллойд-Джонс,Настоящее христианство (Деян. Ап. 7:30-60),"Стефан -христианин настолько уподобившийся Христу, бескомпромисный и верный своим убеждениям даже до смерти, что его свидетельство потрясает мир до сих пор",том 5,,
0109,Толк.,Мартин Ллойд-Джонс,Настоящее христианство (Деян. Ап. 8:1-35),"Гонения, возникшие после смерти Стефана, привели к распространению Евангелия в Самарии, а благодаря возрождению евнуха-эфиопа оно достигло Африки",том 6,,
0110,Д и Н,Мориц Гейслер,Трудные вопросы Библии,"Автор даеь подробные, исчерпывающие разъяснениятруднопонимаемых мест Библии и кажущихся противоречий",,,
0111,Худ.,Кристина Рой,Три друга,О дружбе трех молодых ребят,,,
0112,Худ.,Том Уайт,"""Ракеты"" над Кубой","Захватывающая история о Божьей страдающей церкви за ""Железным зановесом"" страны сахарного тростника",,,
0113,Худ.,Григория Зинченко,Побег из Бухенвальда,,,,
0114,Худ.,Доркас Хувер,В ожидании рассвета,"Трагедия и горе семьи Троеров, которые попали в руки террористов в Гватемале",,,
0115,Биогр.,Эрни Холландс,"Пойман, чтобы быть свободным","Биография преступника, ставшего христианином",,,
0116,Худ.,Пегги Буртон,Следуя по Божьему пути,"Размышления, молитвы и стихи",,,
0117,Худ.,,Сошедший с небес,Сборник стихотворений,,,
0118,Худ.,Генрик Сенкевич,Камо Грядеши,"Исторический роман, времен Римской империи, охватывает последние 4 года правления императора Нерона",,,
0119,Худ.,Джон Поллак,Апостол,Литературное изложение истории жизни и служения апостола Павла,,,
0120,Худ.,Кристина Рой,Работник,О жизни словацкого народа,,,
0121,Худ.,Корри тен Боом,Убежище,О жизни евреев в концлагере ,,,
0122,Худ.,Кристина Рой,Без Бога на свете,О сироте Мартынко,,,
0123,Худ.,Кристина Рой,Мечтатели,О пути следования за Христом ,,,
0124,Худ.,Дон Ричардсон,Повелители земли ,"Потрясающая история каменного века, происшедшая в джунглях Ириан Джая",,,
0125,Худ.,Николай Водневский,Под голубым небом,Стихотворения,,,
0126,Худ.,Б. Букин,Под могучим домом,О начале пробуждения к живой вере среди украинского и русского народа,,,
0127,Д и Н,Билли Грэм,Мир с Богом,Книга дает ясные и исчерпывающие ответы на самые насущные жизненные вопросы каждого человека,,,
0128,Худ.,К.М. Стром,Джон Ньютон: Свирепый моряк,"Книга о том, как Бог спас человека, занимающегося работорговлей",,,
0129,Д и Н,Том Уэллс,"Христианин, мужайся!","Книга о жизни христианина и о том, как эта жизнь протекает",,,
0130,Д и Н,Н. Салов-Астахов,Секрет и сила молитвы,"Автор посылает этот труд с горячей молитвой, дабы это свидетельство принесло благословение всем русскоязычным читателям и послужило для славы Божьей.",,,
0131,Толк.,Томас Ватсон,Десять заповедей,"Автор размышляет о декалоге, законе и грехе, а также о пути спасения",,,
0132,Биогр.,Говард и Мэри Тэйлор,Духовный секрет Хадсона Тэйлора,"Биография Х. Тэйлора - миссионера, который во всем полагался на Бога, последовав  Его призыву в Китай проповедовать Евангелие ",,,
0133,К и МР,Петер майер,…Берегитесь чтобы кто не прельстил вас!,Пятидесятническое движение: в прошлом и настоящем; занятие позиции и предупреждение об опасности,,,
0134,М и Р,Стюарт Скотт,Образцовый муж,О роли мужа в семье на основании Библии. Библейский путь к семейному счастью,,,
0135,Д и Н,Макс Лукадо,В деснице благодати,"Автор призывает нас задуматься о вопросах независимости, самодостаточности и умения достигать целей, а затем - понять, что хочет от нас Бог : посвящения Христу, понимания тщетности попыток обрести спасение самостоятельно.",,,
0136,К и МР,Вернер Гитт,А другие религии?,"Все ли религии ошибочны, есть ли среди них правильные, все ли они ведут к одной цели?",,,
0137,К и МР,Джон Ф. Мак-Артур,Харизматики,,,,
0138,К и МР,Джон Ф. Мак-Артур,Харизматики,,,,
0139,К и МР,"Джош Макдауэлл,  Дон Стюарт",Обманщики,"Книга ""Обманщики"" покажет вам истинное лицо скрытых за этой ложной красотой верований: мормонов, свидетелей Иеговы, культов Нового времени и другое",,,
0140,М и Р,Пол Дэвид Трипп,Возраст возможностей,Библейское руководство по воспитанию подростков,,,
0141,Д и Н,Джон Пайпер,Не трать свою жизнь напрасно,"Книга о том, как избежать потраченной впустую жизни. Жизнь проходит напрасно, если мы не принимаем славы креста как высшей степени блаженства и глубочайшего утешения в любой скорби",,,
0142,К и МР,,Истина или заблуждение,"Изучение возникновения и распространения сект ""Свидетелей Иеговы"", ""Адвентистов седьмого дня"", ""Мормонов""",,,
0143,Д и Н,Джон Ф. Мак-Артур,Свобода и сила прощения,"Бог относится к прощению слишком серьезно, чтобы давать нам выбор в этом вопросе. Где прошение, там свобода, духовная сила, душевный покой, общение с Небесным Отцом…",,,
0144,Ист.,,Євангельські християни-баптисти України: історія і сучасність,"Книга знайомить читачів з основними етапами становлення та розвитку євангельських християн-баптистів України, структурою та місією Всеукраїнського союзу об'єднань євангельських християн-баптистів",,,
0145,Худ.,Степка Воробей,Срыв,"В основу повести положены реальные события из жизни отдельных христиан. Цель автора предостеречь читателей от поступков, могущих нанести им душевные раны, а также показать путь исцеления через покаяние перед Богом и доверие Его руководству ",,,
0146,Худ.,,Чем люди живы,Сборник христианских рассказов русских классиков,Том 1,,
0147,Худ.,Ю. С. Грачев,В иродовой бездне,"В книге рассказывается о юности, поисках Бога и тяжелых испытаниях, выпавших на долю Лёвы Смирнского - героя, вобравшего в себя черты самого автора ",Том 1,,
0148,М и Р,Вальтер Тробиш,Я любил девушку,"Произведение, написанное в эпистолярном жанре, которая может помочь другим людям",,,
0149,М и Р,Элизабет Джордж,Мама по сердцу Божьему,"Автор с библейской мудростью предлагает проверенные временем советы, дает ценные идеи, которые помогут вам стать мамой по сердцу Божьему",,,
0150,Худ.,Анджела Хант,Жемчужина,"Книга о том, к чему приводит стремление человека исполнить свое заветное желание",,,
0151,Худ.,Людмила Шторк ,Когда происходят чудеса,Что может быть интереснее человеческой души? С ее вечным стремлением к счастью и непрекращающимися поисками истины. Сильная книга о сильных христианах,,,
0152,Д и Н,Филип Янси,Отголоски иного мира,"Книга повествует о самых лавных вопросах человека, как бы заглядывая на самые окраины материального мира - туда, где он граничит с миром веры",,,
0153,М и Р,Мэри Вуд-Аллен,Что необходимо знать каждой девочке?,Тайна происхождения жизни и продолжение рода человеческого,,,
0154,Худ.,Чарлз Людвиг,Королева реформации,"Вдохновенный биографичный роман о Кати Лютер, жене Мартина Лютера",,,
0155,М и Р,,Библейские принципы семейной жизни,Принципы и советы относительно брачной и семейной жизни,,,
0156,Худ.,Эл и Джоанна Лейсли,Мера благодати,Роман о бегстве девушки на запад навстречу свободе. Но сможет ли она освободить свое сердце?,,,
0157,Худ.,Хесба Стреттон,Карола,"Умело используя возможности жанра евангельской художественной прозы, автор обращает внимание читателей на социальные и моральные проблемы английского общества викторианской эпохи.",,,
0158,М и Р,Джим Берген,"Секс? Ну, и что тут такого?","Книга о том, как устоять перед сексуальным давлением со стороны общества и мира",,,
0159,М и Р,"Джош Макдауэлл, Дик Дей",Как стать героем для своих детей,"План воспитания детей, который позволит Вам стать героем в их глазах. Сочувствие, твердость, последовательность сделают Вас примером для Ваших детей",,,
0160,Худ.,М. А. Мейндерс - Ван Вурден,Женщина с книгой,Книга описывает жизнь и труд английской миссионерки Глэдис Эльверд. Художественный христианский роман.,,,
0161,М и Р,Джойс Хаггет,Дорога любви,"Для тех кто влюблен, думает о более серьезных отношениях или собирается вступить в брак",,,
0162,М и Р,Джош Макдауэлл,Взаимосвязь с отцом,"Десять качеств Вашего сердца, которые дают возможность Вашим детям сделать правильный выбор",,,
0163,Худ.,Людмила Шторк ,Тернистые тропы любви,В книге прослеживается судьба пастора Марка - с юности до самых преклонных лет. Действие происходит в годы репрессий и жестоких гонений на церковь в СССР. Через все это вынуждена пройти его семья,,,
0164,Худ.,Павел Свиридов,Если бы я знал…,"Роман-биография парня, которого Бог неоднократно спасал на скользких путях, но покаяние родилось в его душе лишь в тюрьме, где он отбывает пожизненное заключение за убийство.",,,
0165,М и Р,Росс Кэмпбелл,Как любить своего подростка,"Эта книга поможет родителям понять, как выражать безусловную любовь, что делать, если у подростка депрессия, и как ему помочь в его духовном и интеллектуальном росте",,,
0166,М и Р,Джеймс Добсон,Непослушный ребенок,"Практическое руководство ""для тех родителей, которые, может быть, без всякого плана и без всякой попытки заглянуть вперед мечутся перед лицом возникающих трудностей""",,,
0167,М и Р,Гин Карсен,"Женщина, жена и мать",Книга о роли и предназначении женщины в Священном Писании,,,
0168,М и Р,Вольфганг Бюне,Может ли любовь быть грехом?,"Дружба, любовь, сексуальные отношения и следование за Христом",,,
0169,М и Р,Чарльз У. Шедд,Письма Карен,"О супружеской любви, об основах счастливого брака, а также о том, что может разрушить его",,,
0170,Д и Н,Филип Янси,В поисках невидимого Бога,"Автор утверждает: чем более личностен для человека Бог, тем ближе к сердцу он принимает все, что с Богом связано.",,,
